TeamID,TeamName
1,Gilson
2,Brunetti
3,Mucci
4,Stull
5,Campbell
6,Fee
7,Mottola
8,Huszczo
9,M. Ayers
10,Kaprosy
11,Mignogna
12,J. Ayers
13,Hivnor
14,Gibb
15,Ferritto
16,Bagnowski
17,Hoban
18,Kaminsky
19,Baucher
20,Plato
21,Penton
22,Randazzo
